Año;Mes;Código;Descripción;Rep.;Reg. I;Reg. II;Reg. III;Reg. IV;Reg. V;Reg. VI;Reg. VII;Reg. VIII
2024;Enero;112504;Medallones y milanesas de pollo;99.48;102.36;100.00;100.00;100.00;99.47;97.70;100.00;95.75
2024;Enero;112505;Tortas de carne (pollo, res y cerdo);100.28;100.57;100.00;100.00;100.00;100.00;100.00;99.35;101.58
2024;Enero;112506;Carne de cerdo marinada;99.24;99.55;98.60;100.00;101.31;98.23;94.18;100.00;100.03
2024;Enero;113101;Pescado entero, fresco, refrigerado o congelado;100.92;101.43;100.00;102.30;100.00;99.73;102.38;102.49;100.54
2024;Enero;113201;Pescado seco;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;113301;Sardinas enlatadas;99.99;99.71;99.90;100.76;99.98;100.69;100.35;100.01;99.38
2024;Enero;113401;Camarones frescos, refrigerados o congelados;99.51;98.13;100.00;102.38;101.48;98.14;99.91;96.47;99.32
2024;Enero;114101;Leche líquida entera;101.94;103.03;100.00;102.03;102.58;102.64;99.68;99.99;97.88
2024;Enero;114201;Leche liquida baja en grasas;101.06;101.78;100.00;100.40;100.00;102.53;102.66;100.00;99.52
2024;Enero;114301;Leche en polvo;99.34;100.17;100.50;99.44;100.09;100.34;100.03;99.46;96.05
2024;Enero;114302;Crema de leche;100.08;98.53;100.00;100.00;100.00;100.83;100.00;100.00;101.14
2024;Enero;114501;Queso fresco;100.26;98.26;100.00;99.12;100.98;100.12;99.02;100.72;102.38
2024;Enero;114502;Queso crema;99.61;99.72;100.00;97.92;98.54;100.00;101.07;98.79;98.56
2024;Enero;114503;Queso mozzarella;100.41;100.27;100.00;100.00;108.45;98.12;98.96;100.00;97.53
2024;Enero;114504;Queso seco;100.21;100.45;100.00;99.64;100.89;100.80;100.09;101.01;100.00
2024;Enero;114601;Yogur industrializado;99.62;99.50;100.58;100.21;101.05;98.83;100.31;97.82;99.67
2024;Enero;114701;Bebidas lácteas en base a leche liquida;99.56;99.28;100.00;99.66;97.46;100.15;102.94;100.00;100.00
2024;Enero;114801;Huevos de gallina;99.46;102.34;100.11;98.44;100.24;100.52;96.37;98.64;99.65
2024;Enero;115101;Aceite de origen vegetal;100.16;100.17;100.11;99.85;99.70;100.44;101.63;98.89;100.37
2024;Enero;115301;Margarina vegetal regular;100.74;100.69;100.11;100.36;102.05;100.12;101.14;102.12;99.71
2024;Enero;116101;Aguacates frescos;99.08;96.66;98.11;101.53;96.17;101.10;98.68;101.94;99.82
2024;Enero;116102;Bananos frescos;99.77;97.43;104.44;103.80;101.11;98.52;98.94;96.64;102.22
2024;Enero;116103;Plátanos frescos;102.28;99.80;98.68;104.96;100.25;100.65;102.60;105.00;105.71
2024;Enero;116104;Mangos;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;116105;Papayas frescas;98.28;98.65;99.61;96.54;94.22;101.35;98.66;98.45;98.61
2024;Enero;116106;Piñas frescas;100.45;99.81;104.45;101.12;103.14;98.08;98.13;99.27;99.65
2024;Enero;116201;Limones frescos;100.48;99.63;100.89;100.91;103.07;99.00;103.05;98.28;99.80
2024;Enero;116202;Naranjas frescas;100.03;97.05;106.89;98.70;95.77;96.33;98.95;99.25;104.34
2024;Enero;116301;Manzanas frescas;98.22;92.90;98.83;97.16;96.66;99.25;102.82;98.54;99.54
2024;Enero;116302;Duraznos;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;116401;Fresas frescas;98.85;99.49;100.00;100.00;100.00;93.79;97.37;100.00;100.00
2024;Enero;116501;Uvas frescas;102.77;101.89;100.00;100.00;100.00;100.56;102.53;100.00;112.18
2024;Enero;116502;Melones frescos;99.59;99.04;102.49;102.67;96.44;101.90;99.95;99.47;94.45
2024;Enero;116503;Sandías frescas;98.84;95.00;95.64;95.50;105.19;98.87;95.63;102.23;99.65
2024;Enero;117101;Repollo, fresco o refrigerado;102.46;101.23;105.47;102.86;98.60;101.47;102.10;98.56;107.42
2024;Enero;117102;Coliflor;102.24;104.48;98.14;105.38;99.48;95.87;99.72;109.65;101.38
2024;Enero;117103;Brócoli;98.20;101.19;90.62;100.59;90.34;101.44;101.32;100.56;105.15
2024;Enero;117104;Lechuga;97.09;96.56;104.26;91.33;96.93;95.95;100.31;98.36;98.24
2024;Enero;117105;Apio;99.93;100.24;100.00;100.00;100.00;99.96;99.27;100.00;100.14
2024;Enero;117106;Hierbas aromáticas para cocinar;100.18;101.10;102.47;98.84;97.32;100.85;100.70;98.20;100.30
2024;Enero;117107;Pacaya;99.97;100.00;100.00;100.00;100.00;100.00;99.77;100.00;100.00
2024;Enero;117108;Hierbas naturales para caldo;99.87;97.15;100.69;96.86;102.10;96.76;100.09;100.82;100.98
2024;Enero;117109;Chipilín;100.19;100.00;100.00;100.00;101.40;100.00;100.00;100.00;100.00
2024;Enero;117201;Chile pimiento fresco;99.79;99.19;95.57;97.36;103.60;97.85;101.16;97.41;103.05
2024;Enero;117202;Pepinos frescos;101.36;100.21;107.44;99.95;100.53;100.36;99.71;102.29;102.88
2024;Enero;117203;Tomate fresco;101.99;101.85;102.04;102.82;94.49;99.14;103.74;103.45;106.47
2024;Enero;117204;Güisquil;97.67;95.90;100.00;96.72;92.66;95.63;98.17;99.42;99.58
2024;Enero;117205;Güicoy;99.65;100.63;99.88;99.35;102.56;98.18;98.96;99.50;99.87
2024;Enero;117301;Ejotes, frescos o refrigerados;101.64;98.00;105.41;104.21;100.00;99.99;102.04;96.01;104.91
2024;Enero;117401;Zanahorias;97.75;96.30;96.72;96.13;94.69;101.36;97.86;96.75;103.19
2024;Enero;117402;Rábanos;100.68;98.83;101.60;100.03;101.71;97.83;102.29;102.21;99.79
2024;Enero;117403;Cebollas;102.63;104.30;98.93;106.24;104.85;104.28;103.81;101.90;99.47
2024;Enero;117404;Maíz verde (elote);99.54;99.31;100.00;100.00;100.00;100.00;96.54;100.00;100.00
2024;Enero;117405;Verduras frescas o refrigeradas limpias y cortadas;99.85;100.02;100.00;100.00;100.00;99.49;99.99;96.77;100.00
2024;Enero;117501;Papas;97.57;93.49;98.59;100.66;80.89;100.00;104.78;96.28;102.99
2024;Enero;117601;Frijoles negros, secos;98.43;99.17;92.78;100.54;99.46;99.30;99.55;100.37;99.67
2024;Enero;117602;Frijoles colorados, secos;99.15;100.49;100.00;96.38;97.69;98.47;100.14;100.68;100.00
2024;Enero;117603;Otros frijoles, secos (piloy, pinto, blanco, etc);99.40;99.02;99.00;98.46;100.00;97.92;100.13;100.00;100.00
2024;Enero;117901;Frijoles procesados y envasados;100.43;99.97;100.99;101.05;99.44;100.69;100.19;100.97;100.00
2024;Enero;118101;Azúcar de caña;99.91;100.01;100.31;100.23;100.30;99.13;99.99;99.41;99.47
2024;Enero;118301;Miel;99.84;100.00;100.00;100.00;100.00;100.00;98.20;100.00;99.64
2024;Enero;118501;Pastilla de chocolate para hervir;100.05;99.90;100.00;100.13;100.00;99.55;100.69;100.00;100.00
2024;Enero;118601;Helado industrializado (base a leche, hielo, fruta, etc);100.21;101.51;100.00;100.00;101.03;101.01;100.24;100.00;97.98
2024;Enero;118901;Otra confitería de azúcar y postres NEC (No contiene cacao);100.06;99.58;100.00;99.79;100.74;100.00;99.72;100.21;100.00
2024;Enero;119101;Sopas instantáneas;100.66;102.09;100.00;101.30;101.58;100.55;100.17;100.68;99.95
2024;Enero;119201;Alimentos para bebé;99.41;99.06;99.54;98.78;99.84;100.69;98.98;99.03;99.43
2024;Enero;119301;Sal;100.36;100.12;100.00;100.63;100.32;100.24;100.23;100.29;101.33
2024;Enero;119302;Consomé;100.36;100.70;100.00;100.26;101.39;100.21;100.46;100.04;100.00
2024;Enero;119303;Sazonadores y ablandadores;99.09;98.97;100.00;97.78;100.00;101.18;99.24;96.65;98.91
2024;Enero;119304;Salsa de tomate;100.45;100.72;100.18;99.85;100.93;100.50;100.78;100.09;100.23
2024;Enero;119305;Salsa tipo Kétchup;100.53;100.73;102.66;100.87;100.43;101.02;100.58;98.19;101.33
2024;Enero;119306;Mayonesa;100.64;100.85;100.25;98.93;102.48;100.30;100.32;103.34;99.40
2024;Enero;119401;Chiles secos enteros y molidos;99.93;99.50;99.76;100.16;99.85;99.91;99.82;100.34;100.00
2024;Enero;119901;Bases para sopas;99.55;100.96;99.91;98.55;101.77;100.03;100.21;96.11;100.28
2024;Enero;119902;Suplementos nutricionales;100.36;100.00;100.00;100.00;100.09;102.87;99.73;100.00;100.00
2024;Enero;119903;Snacks (excluye papalinas, plataninas, yucas, malangas, etc);100.12;99.94;100.00;99.85;98.22;100.95;99.88;101.27;100.53
2024;Enero;119904;Hojas para tamales;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;121001;Jugos de frutas líquidos;100.15;99.16;100.08;99.98;101.15;99.84;100.70;99.97;99.89
2024;Enero;121002;Jugos de frutas en polvo;99.63;100.01;101.53;98.27;100.00;98.56;100.57;100.72;99.92
2024;Enero;122001;Café molido;99.72;99.27;100.00;100.00;99.78;98.36;100.26;99.16;99.23
2024;Enero;122002;Café instantáneo;99.63;98.70;100.00;99.18;100.02;100.38;99.63;100.44;99.31
2024;Enero;123001;Té de frutas y medicinales;99.99;100.05;100.17;99.93;100.05;100.10;99.51;100.30;99.97
2024;Enero;125001;Agua purificada;100.17;99.76;100.00;100.05;101.55;99.53;100.20;100.00;100.17
2024;Enero;126001;Gaseosas;99.89;99.62;99.84;100.09;100.58;99.94;100.30;99.30;99.47
2024;Enero;129001;Bebidas hidratantes y energizantes;99.57;96.77;101.26;100.91;98.33;100.13;100.28;98.89;99.43
2024;Enero;130001;Servicio de molienda de maíz;100.10;100.00;100.00;100.00;100.00;100.00;100.66;100.00;100.00
2024;Enero;2;BEBIDAS ALCOHÓLICAS, TABACO Y NARCÓTICOS;99.76;99.36;101.42;100.12;99.45;100.58;99.20;99.67;98.45
2024;Enero;211001;Aguardiente;99.65;100.50;100.05;102.17;100.00;101.17;98.78;100.43;96.85
2024;Enero;211002;Whisky;99.41;99.31;0.00;97.19;100.00;0.00;0.00;100.00;0.00
2024;Enero;213001;Cerveza (todo tipo);100.02;100.31;101.75;100.11;100.00;101.30;99.36;99.24;98.13
2024;Enero;230101;Cigarros;99.14;97.74;100.23;100.21;96.12;98.73;98.73;101.49;99.53
2024;Enero;3;ROPA Y CALZADO;99.99;100.31;100.00;99.93;99.99;99.89;100.08;99.77;100.08
2024;Enero;311001;Tela para ropa uso diario;100.27;97.89;100.00;97.60;100.51;100.00;100.00;100.00;103.71
2024;Enero;312101;Chumpas para hombres (mayores de 12 años);99.96;100.34;100.00;100.00;100.00;100.00;99.52;100.00;100.00
2024;Enero;312102;Suéteres de algodón para hombres (mayores de 12 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312103;Camisas con botones para hombres (mayores de 12 años);99.80;98.74;100.00;100.34;100.00;100.00;99.84;98.85;100.00
2024;Enero;312104;Camisas tipo Polo para hombres (mayores de 12 años);100.01;100.43;100.00;99.78;99.35;100.00;99.46;100.00;100.91
2024;Enero;312105;Playeras para hombres (mayores de 12 años);99.93;100.03;100.00;100.00;99.82;100.00;99.65;99.98;100.00
2024;Enero;312106;Pantalones de vestir para hombres (mayores de 12 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312107;Pantalones de lona para hombres (mayores de 12 años);99.85;99.83;100.00;99.64;100.00;98.96;100.08;100.14;100.00
2024;Enero;312108;Pantalones largos deportivo para hombres (mayores a 12 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312109;Pantalonetas deportivas para hombres (mayores de 12 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312110;Trajes formales (incluye los trajes formales tradicionales)para hombres (mayores de 12 años);100.12;100.80;100.00;100.00;100.00;100.00;100.30;100.00;100.00
2024;Enero;312111;Calzoncillos para hombres (mayores de 12 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312112;Calcetines para hombres (mayores de 12 años);99.57;99.67;100.36;97.75;97.99;100.00;100.90;100.00;100.00
2024;Enero;312201;Chumpas y chaquetas para niños (mayores de 2 y menores de 12 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312202;Camisas de vestir para niños (mayores de 2 y menores de 12 años);99.96;100.00;100.00;99.53;100.72;100.00;99.41;100.05;100.00
2024;Enero;312203;Playeras para niños (mayores de 2 y menores de 12 años);99.98;100.00;100.13;100.00;100.00;100.00;99.79;99.92;100.00
2024;Enero;312204;Pantalones de vestir para niños (mayores de 2 y menores de 12 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312205;Pantalones de lona para niños (mayores de 2 y menores de 12 años);100.06;100.22;100.00;100.00;100.00;99.60;100.00;99.64;101.22
2024;Enero;312206;Trajes formales incluye trajes formales tradicionales para niños (mayores de 2 y menores de 12 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312207;Calzoncillos para niños (mayores de 2 y menores de 12 años);99.94;99.48;100.00;100.00;100.00;100.00;99.99;100.00;100.00
2024;Enero;312208;Calcetines para niños (mayores de 2 y menores de 12 años);100.01;100.20;100.00;100.00;100.00;100.00;99.94;100.00;100.00
2024;Enero;312301;Suéteres, mañaneras para mujeres (mayores de 12 años);99.92;100.00;100.00;100.00;100.00;100.00;99.58;99.99;100.00
2024;Enero;312302;Blusas formales para mujeres (mayores de 12 años);100.07;100.00;99.97;100.00;100.00;100.56;100.12;99.95;99.65
2024;Enero;312303;Blusas casuales para mujeres (mayores de 12 años);100.97;110.30;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312304;Pantalones de vestir de tela para mujeres (mayores de 12 años);99.98;99.81;100.00;100.02;100.00;100.00;100.00;99.98;100.00
2024;Enero;312305;Pantalones de lona para mujeres (mayores de 12 años);99.71;99.27;99.96;99.56;99.90;99.23;100.00;99.97;100.00
2024;Enero;312306;Vestidos formales y casuales para mujeres (mayores de 12 años);100.12;100.00;100.04;100.05;100.00;100.00;100.87;100.12;100.00
2024;Enero;312307;Vestidos de fiesta para mujeres (mayores de 12 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312308;Faldas formales y casuales para mujeres (mayores de 12 años);99.88;98.50;99.93;99.87;100.00;100.00;100.00;99.75;100.00
2024;Enero;312309;Traje tradicional para mujeres (mayores de 12 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312310;Prenda tradicional para mujeres (mayores de 12 años);100.10;100.81;100.00;100.00;100.00;100.00;100.77;99.87;100.00
2024;Enero;312311;Calzones para mujeres (mayores de 12 años);99.83;99.97;100.01;100.15;100.00;100.00;100.70;97.75;100.00
2024;Enero;312312;Sostenes para mujeres (mayores de 12 años);99.67;98.80;100.00;100.00;100.00;100.00;100.00;97.96;100.00
2024;Enero;312401;Suéteres, mañaneras para niñas (mayores de 2 y menores de 12 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312402;Blusas formales y casuales para niñas (mayores de 2 y menores de 12 años);99.79;101.05;100.00;98.10;100.00;100.00;100.00;99.83;100.00
2024;Enero;312403;Pantalones de lona para niñas (mayores de 2 y menores de 12 años);100.09;100.38;100.00;100.00;100.00;100.00;100.49;99.96;100.00
2024;Enero;312404;Traje tradicional para niñas (mayores de 2 y menores de 12 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312405;Prenda tradicional para niñas (mayores de 2 y menores de 12 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312406;Vestidos formales y casuales para niñas (mayores de 2 y menores de 12 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312407;Calzones para niñas (mayores de 2 y menores de 12 años);99.81;99.74;100.00;100.00;100.00;100.00;99.86;99.65;99.32
2024;Enero;312501;Camisas/blusas para bebés (menores de 2 años);100.27;100.00;100.00;100.00;100.00;100.00;102.33;100.00;100.00
2024;Enero;312502;Chaquetas, suéteres, abrigos para bebés (menores de 2 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312503;Pantalones para bebés (menores de 2 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;312504;Mamelucos y bodys para bebés (menores de 2 años);100.52;99.57;99.94;100.00;101.49;100.00;100.06;102.93;100.00
2024;Enero;312601;Uniformes escolares en general;100.32;98.93;100.00;99.74;100.00;100.78;100.00;102.76;100.00
2024;Enero;313101;Cinchos;100.17;100.02;100.00;99.97;100.00;100.00;100.13;100.99;100.00
2024;Enero;313102;Gorras;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;313201;Hilos;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;314101;Lavado;100.18;100.56;100.00;100.00;100.00;99.66;101.08;100.00;100.00
2024;Enero;321101;Zapato acordonado para hombre;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;321102;Zapato tipo mocasín para hombre;100.32;100.37;100.00;100.00;101.41;100.00;100.00;100.93;99.88
2024;Enero;321103;Botas y botines para hombre;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;321104;Tenis (Zapatillas) para hombre;100.00;99.99;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;321105;Sandalias (chanclas, caites, pantuflas) para hombre;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;321201;Zapatos casuales para mujer;100.18;100.00;100.00;100.00;100.00;100.00;100.00;100.00;101.24
2024;Enero;321202;Zapatos de tacón alto y bajo para mujer;99.43;100.00;100.00;100.00;101.41;100.00;100.00;95.65;100.00
2024;Enero;321203;Sandalias con o sin tacón para mujer;100.01;100.29;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;321204;Botas o botines con y sin tacón para mujer;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;321205;Chanclas, caites, pantuflas para mujer;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;321206;Tenis (Zapatillas) para mujer;100.04;100.29;100.00;101.63;98.77;100.00;100.00;100.00;100.00
2024;Enero;321301;Zapatos casuales (incluye sandalias, chanclas, caites y pantuflas) para niños (menores a 13 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;321302;Zapatos escolares para niños (menores a 13 años);99.93;100.00;100.00;101.21;100.00;100.00;100.00;98.13;100.00
2024;Enero;321303;Tenis (Zapatillas) para niños (menores a 13 años);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;4;VIVIENDA, AGUA, ELECTRICIDAD, GAS Y OTROS;99.44;99.84;100.00;98.81;98.57;98.98;99.90;99.95;98.95
2024;Enero;411101;Alquiler de vivienda;100.06;100.15;100.00;100.04;100.00;100.00;100.00;100.00;100.00
2024;Enero;431101;Pintura (de agua o aceite);100.41;99.96;100.00;99.52;102.03;100.00;100.18;100.62;100.22
2024;Enero;431102;Cemento;100.13;99.95;100.00;100.02;100.30;100.00;100.25;100.57;99.74
2024;Enero;431103;Cal;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;431104;Block;99.77;100.00;100.00;100.00;100.00;100.00;97.37;100.00;100.00
2024;Enero;431105;Otros productos y materiales para reparación y mantenimiento;99.99;99.86;100.00;100.01;99.60;100.00;99.54;100.53;100.00
2024;Enero;431106;Artículos de plomería;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;431107;Madera;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;431108;Pisos;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;431109;Puertas y ventanas;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;432101;Servicios de mantenimiento y reparación de viviendas;99.67;100.00;100.00;97.70;100.00;100.00;100.00;100.00;100.00
2024;Enero;432102;Servicio de vigilancia residencial;100.00;100.00;0.00;100.00;100.00;100.00;100.00;0.00;0.00
2024;Enero;441101;Pago por consumo de agua;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;441201;Compra de agua para el hogar por otros medios (no agua para beber);100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;442001;Pago por servicio de recolección de basura;101.68;104.56;100.00;100.00;100.00;100.00;101.33;100.00;100.00
2024;Enero;451001;Consumo de energía eléctrica;100.02;100.00;100.00;100.00;100.14;100.00;100.00;99.98;100.00
2024;Enero;452201;Gas en contenedores;94.30;96.30;100.00;92.30;88.46;92.84;98.98;99.06;89.86
2024;Enero;454101;Carbón;100.36;102.41;101.90;97.80;100.19;100.83;98.05;101.19;97.92
2024;Enero;454201;Leña;99.94;100.37;100.00;99.36;100.00;100.00;100.00;100.00;100.00
2024;Enero;454202;Ocote;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;5;MOBILIARIO, EQUIPO Y MANTENIMIENTO DEL HOGAR;99.92;100.12;99.98;99.89;100.00;99.76;99.86;99.85;99.83
2024;Enero;511101;Muebles de sala;100.11;99.71;100.00;100.23;100.00;100.50;99.92;100.50;100.12
2024;Enero;511102;Muebles de comedor;100.02;99.21;100.00;99.66;101.48;99.73;100.26;100.00;100.00
2024;Enero;511103;Muebles de cocina;100.00;100.00;100.00;100.00;100.01;100.00;100.00;100.00;100.00
2024;Enero;511104;Muebles de dormitorio;99.90;100.00;99.85;100.86;99.74;98.87;99.94;100.00;99.77
2024;Enero;511401;Espejos;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;521101;Cortinas;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;521201;Ropa de cama;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;521202;Hamacas;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;521301;Manteles;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;521302;Toallas de tela;100.03;100.35;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;531101;Refrigeradores y refrigeradores de temperatura dual;99.93;100.73;100.18;98.54;100.00;100.16;100.50;100.00;100.00
2024;Enero;531102;Estufas;100.08;100.47;100.00;99.92;100.04;98.66;101.12;100.00;100.50
2024;Enero;531103;Hornos pequeños;98.97;98.43;99.89;98.51;98.29;98.86;99.97;98.71;100.02
2024;Enero;531201;Lavadoras;99.81;99.41;100.00;100.16;99.27;100.14;99.03;100.15;100.00
2024;Enero;532101;Licuadoras;99.65;101.05;100.00;98.43;98.26;99.93;99.30;100.15;99.91
2024;Enero;532901;Ventiladores;100.28;101.68;100.00;100.88;99.84;100.00;100.00;96.14;100.00
2024;Enero;540101;Vajillas;99.95;100.00;100.00;100.00;100.00;100.00;99.50;100.00;100.00
2024;Enero;540301;Ollas y cacerolas;99.66;100.00;100.00;100.00;100.00;100.00;100.00;97.80;100.00
2024;Enero;540302;Sartenes;100.21;100.74;100.00;100.00;100.00;100.00;99.79;101.04;100.00
2024;Enero;540303;Ollas a presión;100.41;101.26;100.00;97.92;102.09;100.00;99.59;100.21;100.00
2024;Enero;540304;Vasos y tazas de  plástico y melamina;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;551001;Herramienta eléctrica;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;552101;Herramientas no motorizadas;100.63;100.68;100.02;100.54;100.88;100.00;100.69;101.79;100.23
2024;Enero;552201;Bombillas;99.89;100.00;100.00;100.00;100.00;98.71;100.00;100.00;100.00
2024;Enero;561101;Detergente en polvo o líquido;100.00;99.18;100.00;99.65;100.00;101.01;99.78;100.33;99.96
2024;Enero;561102;Jabón para ropa;99.28;99.51;100.00;100.33;100.13;99.29;98.50;98.16;98.27
2024;Enero;561103;Desinfectante;99.33;97.69;99.87;99.36;100.00;98.95;99.42;100.00;100.00
